cancer_type	cancer_type_code	drug	gene	proximal_cancer_genes	label	type_alt	genomic_element	samples_mut_treatment	freq_t	samples_mut_control	freq_c	qvalue	log_qvalue	log2(odds_ratio)	significant	annotated	representative_mech	is_treatment_exclusive	is_TED	Literature	comment	is_subtype	found_in_subtype	is_target_treatment
Breast cancer ER+/HER2-	BRCA_ERpos	Aromatase_inhibitor	ENSG00000104660_LEPROTL1		LEPROTL1 [proximal promoters] - Aromatase inhibitor (BRCA ERpos)	non-coding mutation	proximal_promoters	10	0.034722222222222224	1	0.0125	0.7222046178354217	0.1413397389858603	1.5118356841861464	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Aromatase_inhibitor	ENSG00000101166_PRELID3B		PRELID3B [proximal promoters] - Aromatase inhibitor (BRCA ERpos)	non-coding mutation	proximal_promoters	8	0.027777777777777776	0	0.0	0.7222046178354217	0.1413397389858603	2.1552455109337334	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Aromatase_inhibitor	ENSG00000168255_POLR2J3		POLR2J3 [proximal promoters] - Aromatase inhibitor (BRCA ERpos)	non-coding mutation	proximal_promoters	4	0.013888888888888888	0	0.0	0.7222046178354217	0.1413397389858603	1.1584806575162545	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Aromatase_inhibitor	ENSG00000066468_FGFR2		FGFR2 [proximal promoters] - Aromatase inhibitor (BRCA ERpos)	non-coding mutation	proximal_promoters	11	0.03819444444444445	1	0.0125	0.7222046178354217	0.1413397389858603	1.6540615811729815	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Aromatase_inhibitor	ENSG00000164967_RPP25L		RPP25L [proximal promoters] - Aromatase inhibitor (BRCA ERpos)	non-coding mutation	proximal_promoters	5	0.017361111111111112	0	0.0	0.7222046178354217	0.1413397389858603	1.4791155641921354	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Aromatase_inhibitor	ENSG00000188558_OR2G6		OR2G6 [3utr] - Aromatase inhibitor (BRCA ERpos)	non-coding mutation	3utr	19	0.06597222222222222	1	0.0125	0.7222046178354217	0.1413397389858603	2.4828290944664717	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Taxane	ENSG00000148735_PLEKHS1		PLEKHS1 [proximal promoters] - Taxane (BRCA ERpos)	non-coding mutation	proximal_promoters	17	0.07391304347826087	3	0.0375	0.7222046178354217	0.1413397389858603	1.0416027713296212	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Taxane	ENSG00000101166_PRELID3B		PRELID3B [proximal promoters] - Taxane (BRCA ERpos)	non-coding mutation	proximal_promoters	9	0.0391304347826087	0	0.0	0.7222046178354217	0.1413397389858603	2.6486655116784306	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Taxane	ENSG00000066468_FGFR2		FGFR2 [proximal promoters] - Taxane (BRCA ERpos)	non-coding mutation	proximal_promoters	11	0.04782608695652174	1	0.0125	0.7222046178354217	0.1413397389858603	1.9920565242728967	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Taxane	ENSG00000106537_TSPAN13		TSPAN13 [proximal promoters] - Taxane (BRCA ERpos)	non-coding mutation	proximal_promoters	5	0.021739130434782608	0	0.0	0.7222046178354217	0.1413397389858603	1.802507936088132	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Taxane	ENSG00000067955_CBFB		CBFB [splice sites] - Taxane (BRCA ERpos)	non-coding mutation	splice_sites	5	0.021739130434782608	3	0.0375	0.7222046178354217	0.1413397389858603	-0.7849542274656128	False	False	False	True	False			True	False	False
Colorectal carcinoma	COREAD	Platinum	ATP5EP2		ATP5EP2 - Platinum (COREAD)	Amp		72	0.26277372262773724	10	0.19607843137254902	0.722816255658603	0.1409720890061723	0.545763291370267	False	False	False	False	False			False	False	False
Colorectal carcinoma	COREAD	Anti_VEGF	SCIN		SCIN - Anti VEGF (COREAD)	Amp		16	0.08205128205128205	2	0.0392156862745098	0.722816255658603	0.1409720890061723	1.12725137754022	False	False	False	True	False			False	False	False
Colorectal carcinoma	COREAD	Platinum	ATP5EP2		ATP5EP2 - Platinum (COREAD)	Amp		72	0.26277372262773724	10	0.19607843137254902	0.722816255658603	0.1409720890061723	0.545763291370267	False	False	False	False	False			False	False	False
Colorectal cancer MSS	COREAD_MSS	Platinum	TCEA2		TCEA2 - Platinum (COREAD-MSS)	Amp		106	0.3940520446096654	12	0.2857142857142857	0.726861659782304	0.13854823853603732	0.698970721543511	False	False	False	False	False			True	False	False
Colorectal cancer MSS	COREAD_MSS	Anti_EGFR	KDM5A		KDM5A - Anti EGFR (COREAD-MSS)	Amp		5	0.11627906976744186	1	0.023809523809523808	0.726861659782304	0.13854823853603732	2.44140647400835	False	False	False	True	False			True	False	False
Colorectal cancer MSS	COREAD_MSS	Pyrimidine_antagonist	MUM1		MUM1 - Pyrimidine antagonist (COREAD-MSS)	Del		1	0.003278688524590164	1	0.023809523809523808	0.726861659782304	0.13854823853603732	-2.84091514944654	False	False	False	True	False			True	False	False
Colorectal cancer MSS	COREAD_MSS	Pyrimidine_antagonist	CDKN1B		CDKN1B - Pyrimidine antagonist (COREAD-MSS)	Del		1	0.003278688524590164	1	0.023809523809523808	0.726861659782304	0.13854823853603732	-2.84091514944654	False	False	False	True	False			True	False	False
Colorectal cancer MSS	COREAD_MSS	Pyrimidine_antagonist	SNX30		SNX30 - Pyrimidine antagonist (COREAD-MSS)	Amp		1	0.003278688524590164	1	0.023809523809523808	0.726861659782304	0.13854823853603732	-2.84091514944654	False	False	False	True	False			True	False	False
Colorectal cancer MSS	COREAD_MSS	Pyrimidine_antagonist	GMDS		GMDS - Pyrimidine antagonist (COREAD-MSS)	Del		1	0.003278688524590164	1	0.023809523809523808	0.726861659782304	0.13854823853603732	-2.84091514944654	False	False	False	True	False			True	False	False
Colorectal cancer MSS	COREAD_MSS	Anti_EGFR	MACROD2		MACROD2 - Anti EGFR (COREAD-MSS)	Del		13	0.3023255813953488	7	0.16666666666666666	0.726861659782304	0.13854823853603732	1.10236310931285	False	False	False	False	False			True	False	False
Colorectal cancer MSS	COREAD_MSS	Pyrimidine_antagonist	TTC28		TTC28 - Pyrimidine antagonist (COREAD-MSS)	Amp		1	0.003278688524590164	1	0.023809523809523808	0.726861659782304	0.13854823853603732	-2.84091514944654	False	False	False	True	False			True	False	False
Colorectal cancer MSS	COREAD_MSS	Pyrimidine_antagonist	TTC28		TTC28 - Pyrimidine antagonist (COREAD-MSS)	Amp		1	0.003278688524590164	1	0.023809523809523808	0.726861659782304	0.13854823853603732	-2.84091514944654	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Selective_ER_modulator	RUNX1		RUNX1 - Selective ER modulator (BRCA ERpos)	coding mutations		8	0.024390243902439025	0	0.0	0.7296355148108374	0.1368940349990074	9.813781191217037	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Pyrimidine_antagonist	ERBB2		ERBB2 - Pyrimidine antagonist (BRCA ERpos)	coding mutations		12	0.05660377358490566	2	0.025	0.7296355148108374	0.1368940349990074	1.2271249344499255	False	False	False	True	False			True	False	False
Breast carcinoma	BRCA	Pyrimidine_antagonist	PTEN		PTEN - Pyrimidine antagonist (BRCA)	coding mutations		22	0.0763888888888889	11	0.05472636815920398	0.7325397883802522	0.13516878134286991	0.5210127981984365	False	False	False	False	False			False	True	False
Colorectal carcinoma	COREAD	Platinum	HUS1		HUS1 - Platinum (COREAD)	Amp		22	0.08029197080291971	2	0.0392156862745098	0.7385320781316461	0.13163063636691982	1.09415187191917	False	False	False	True	False			False	False	False
Lung adenocarcinoma	LUAD	Platinum	ENSG00000168878_SFTPB		SFTPB [3utr] - Platinum (LUAD)	non-coding mutation	3utr	11	0.15492957746478872	7	0.19444444444444445	0.7454481069213222	0.12758258381679935	-0.3779621298016903	False	False	False	False	False			False	False	False
Lung adenocarcinoma	LUAD	Folate_antagonist	ENSG00000168878_SFTPB		SFTPB [3utr] - Folate antagonist (LUAD)	non-coding mutation	3utr	9	0.13846153846153847	7	0.19444444444444445	0.7454481069213222	0.12758258381679935	-0.5652968909967265	False	False	False	False	False			False	False	False
Colorectal carcinoma	COREAD	Platinum	RPL21P122		TP53 - Platinum (COREAD)	Del		2	0.0072992700729927005	1	0.0196078431372549	0.7461071878699399	0.12719877607096342	-1.43755757929014	False	False	False	True	False			False	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Anthracycline	ENSG00000108239_TBC1D12		TBC1D12 [5utr] - Anthracycline (BRCA ERpos)	non-coding mutation	5utr	4	0.01509433962264151	2	0.025	0.7461936729128553	0.12714843772708867	-0.7185660742425108	False	False	False	True	False			True	False	False
Colorectal cancer MSS	COREAD_MSS	Anti_EGFR	CDK12		CDK12 - Anti EGFR (COREAD-MSS)	Amp		6	0.13953488372093023	2	0.047619047619047616	0.751872960938299	0.12385553311085415	1.67872373107196	False	False	False	True	False			True	False	False
Breast carcinoma	BRCA	Selective_ER_modulator	ENSG00000160948_VPS28		VPS28 [proximal promoters] - Selective ER modulator (BRCA)	non-coding mutation	proximal_promoters	7	0.017587939698492462	2	0.009950248756218905	0.7581581182029372	0.12024021032865848	0.841031074250578	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Anthracycline	ENSG00000148735_PLEKHS1		PLEKHS1 [proximal promoters] - Anthracycline (BRCA)	non-coding mutation	proximal_promoters	24	0.06201550387596899	10	0.04975124378109453	0.7581581182029372	0.12024021032865848	0.3480169818749932	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	ENSG00000164440_TXLNB		TXLNB [proximal promoters] - Aromatase inhibitor (BRCA)	non-coding mutation	proximal_promoters	6	0.01694915254237288	2	0.009950248756218905	0.7581581182029372	0.12024021032865848	0.7870288892635229	False	False	False	True	False			False	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Pyrimidine_antagonist	ENSG00000104660_LEPROTL1		LEPROTL1 [proximal promoters] - Pyrimidine antagonist (BRCA ERpos)	non-coding mutation	proximal_promoters	6	0.02830188679245283	1	0.0125	0.7598377384743108	0.11927914036259005	1.2084990769804858	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Aromatase_inhibitor	ENSG00000108239_TBC1D12		TBC1D12 [5utr] - Aromatase inhibitor (BRCA ERpos)	non-coding mutation	5utr	6	0.020833333333333332	2	0.025	0.7598377384743108	0.11927914036259005	-0.2519042375592587	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Taxane	ENSG00000108239_TBC1D12		TBC1D12 [5utr] - Taxane (BRCA ERpos)	non-coding mutation	5utr	4	0.017391304347826087	2	0.025	0.7598377384743108	0.11927914036259005	-0.5140261103037485	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Taxane	ENSG00000104660_LEPROTL1		LEPROTL1 [proximal promoters] - Taxane (BRCA ERpos)	non-coding mutation	proximal_promoters	6	0.02608695652173913	1	0.0125	0.7598377384743108	0.11927914036259005	1.0881900671957834	False	False	False	True	False			True	False	False
Breast carcinoma	BRCA	Anti_HER2	STS		STS - Anti HER2 (BRCA)	Del		1	0.01282051282051282	1	0.004975124378109453	0.7605698423521079	0.11886089896088953	1.37853997472047	False	False	False	True	False			False	False	False
Lung adenocarcinoma	LUAD	Folate_antagonist	KEAP1		KEAP1 - Folate antagonist (LUAD)	coding mutations		8	0.12307692307692308	7	0.19444444444444445	0.7703818842330192	0.11329393833178088	-0.7797848855285219	False	False	False	False	False			False	False	False
Colorectal cancer MSS	COREAD_MSS	Pyrimidine_antagonist	SMAD4		SMAD4 - Pyrimidine antagonist (COREAD MSS)	coding mutations		56	0.18360655737704917	5	0.11904761904761904	0.7742898014453892	0.11109646100659676	0.7357448707287898	False	False	False	False	False			True	False	False
Breast carcinoma	BRCA	Anthracycline	ENSG00000104660_LEPROTL1		LEPROTL1 [proximal promoters] - Anthracycline (BRCA)	non-coding mutation	proximal_promoters	9	0.023255813953488372	3	0.014925373134328358	0.7767974336536457	0.10969221789910072	0.6612283949492235	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Alkylating	ENSG00000104660_LEPROTL1		LEPROTL1 [proximal promoters] - Alkylating (BRCA)	non-coding mutation	proximal_promoters	9	0.023376623376623377	3	0.014925373134328358	0.7767974336536457	0.10969221789910072	0.6688336982572998	False	False	False	True	False			False	False	False
Colorectal carcinoma	COREAD	Platinum	ENSG00000184564_SLITRK6		SLITRK6 [proximal promoters] - Platinum (COREAD)	non-coding mutation	proximal_promoters	14	0.051094890510948905	1	0.0196078431372549	0.7774998167604925	0.10929970465471504	1.4341919533065544	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Taxane	PIK3CA		PIK3CA - Taxane (BRCA)	Amp		28	0.07629427792915532	12	0.05970149253731343	0.7805543010244399	0.10759687887322633	0.37882992154013106	False	False	False	False	False			False	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Selective_ER_modulator	ERBB2		ERBB2 - Selective ER modulator (BRCA ERpos)	coding mutations		19	0.057926829268292686	2	0.025	0.7820826584354019	0.10674734386435528	1.2624681886724067	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	CDK4__6_inhibitor	PTEN		PTEN - CDK4  6 inhibitor (BRCA ERpos)	coding mutations		8	0.12903225806451613	6	0.075	0.7823099028251452	0.10662117222732882	0.8703927298514836	False	False	False	False	False			True	False	False
Breast carcinoma	BRCA	Taxane	EFNA5		EFNA5 - Taxane (BRCA)	Del		7	0.01907356948228883	2	0.009950248756218905	0.7858748906089151	0.10464658709405182	0.950637422023965	False	False	False	True	False			False	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Pyrimidine_antagonist	MAP3K1		MAP3K1 - Pyrimidine antagonist (BRCA ERpos)	coding mutations		21	0.09905660377358491	11	0.1375	0.7886327734054024	0.1031251788055717	-0.5339282241858616	False	False	False	False	False			True	False	False
Breast carcinoma	BRCA	Selective_ER_modulator	MAP3K1		MAP3K1 - Selective ER modulator (BRCA)	coding mutations		45	0.11306532663316583	18	0.08955223880597014	0.7886327734054024	0.1031251788055717	0.3793058957212912	False	False	False	False	False			False	True	False
Colorectal cancer MSS	COREAD_MSS	Platinum	AC093627.9		AC093627.9 - Platinum (COREAD-MSS)	Amp		29	0.10780669144981413	2	0.047619047619047616	0.788757108485135	0.1030567137548361	1.26992849853304	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Selective_ER_modulator	GATA3		GATA3 - Selective ER modulator (BRCA ERpos)	coding mutations		52	0.15853658536585366	16	0.2	0.7908176363143572	0.10192365388972753	-0.4061716622664369	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2+	BRCA_HER2pos	Selective_ER_modulator	RPL21P122		MAP2K4 - Selective ER modulator (BRCA-HER2pos)	Del		2	0.045454545454545456	2	0.1111111111111111	0.79687206443405	0.0986113977635246	-1.36662126071893	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2+	BRCA_HER2pos	Selective_ER_modulator	FGF19		FGF19 - Selective ER modulator (BRCA-HER2pos)	Amp		11	0.25	6	0.3333333333333333	0.79687206443405	0.0986113977635246	-0.575178301941513	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2+	BRCA_HER2pos	Selective_ER_modulator	FGF19		FGF19 - Selective ER modulator (BRCA-HER2pos)	Amp		11	0.25	6	0.3333333333333333	0.79687206443405	0.0986113977635246	-0.575178301941513	False	False	False	False	False			True	False	False
Breast carcinoma	BRCA	Taxane	FOXA1		FOXA1 - Taxane (BRCA)	coding mutations		20	0.05449591280653951	7	0.03482587064676617	0.8017262290123435	0.09597390793436864	0.6807580753321496	False	False	False	True	False			False	True	False
Bladder urothelial carcinoma	BLCA	Platinum	URI1		URI1 - Platinum (BLCA)	Amp		16	0.21333333333333335	2	0.08695652173913043	0.8037824786655501	0.09486146505341908	1.4970472711051102	False	False	False	False	False			False	False	False
Bladder urothelial carcinoma	BLCA	Platinum	URI1		URI1 - Platinum (BLCA)	Amp		16	0.21333333333333335	2	0.08695652173913043	0.8037824786655501	0.09486146505341908	1.4970472711051102	False	False	False	False	False			False	False	False
Bladder urothelial carcinoma	BLCA	Platinum	AC017060.1		AC017060.1 - Platinum (BLCA)	Amp		18	0.24	2	0.08695652173913043	0.8037824786655501	0.09486146505341908	1.7151424387533798	False	False	False	False	False			False	False	False
Bladder urothelial carcinoma	BLCA	Platinum	GSTM5P1		GSTM5P1 - Platinum (BLCA)	Amp		14	0.18666666666666668	1	0.043478260869565216	0.8037824786655501	0.09486146505341908	2.3192059650993904	False	False	False	True	False			False	False	False
Bladder urothelial carcinoma	BLCA	Pyrimidine_antagonist	RP11-344E13.3		RP11-344E13.3 - Pyrimidine antagonist (BLCA)	Del		0	0.0	1	0.043478260869565216	0.8037824786655501	0.09486146505341908	0.0	False	False	False	True	False			False	False	False
Bladder urothelial carcinoma	BLCA	Platinum	RP11-145E5.5		CDKN2A - Platinum (BLCA)	Del		24	0.32	12	0.5217391304347826	0.8037824786655501	0.09486146505341908	-1.19980220371624	False	False	False	False	False			False	False	False
Breast carcinoma	BRCA	Anthracycline	FOXA1		FOXA1 - Anthracycline (BRCA)	coding mutations		20	0.05167958656330749	7	0.03482587064676617	0.8039494379719986	0.09477126406281447	0.5958046738003149	False	False	False	True	False			False	True	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	DEDD2		DEDD2 - Anti AR  GnRH (PRAD)	Del		1	0.0030864197530864196	1	0.006535947712418301	0.804740062289453	0.09434437769857948	-1.07556701334613	False	False	False	True	False			False	False	False
Breast carcinoma	BRCA	Alkaloid	MAP3K1		MAP3K1 - Alkaloid (BRCA)	coding mutations		6	0.125	18	0.08955223880597014	0.8101566269295533	0.09143101120103056	0.5741546874879768	False	False	False	False	False			False	True	False
Breast carcinoma	BRCA	Alkylating	MAP3K1		MAP3K1 - Alkylating (BRCA)	coding mutations		27	0.07012987012987013	18	0.08955223880597014	0.8101566269295533	0.09143101120103056	-0.377242852158354	False	False	False	False	False			False	True	False
Colorectal cancer MSS	COREAD_MSS	Pyrimidine_antagonist	TH		TH - Pyrimidine antagonist (COREAD-MSS)	Amp		22	0.07213114754098361	1	0.023809523809523808	0.81022412948126	0.09139482713056243	1.7038044461245598	False	False	False	True	False			True	False	False
Colorectal cancer MSS	COREAD_MSS	Pyrimidine_antagonist	TH		TH - Pyrimidine antagonist (COREAD-MSS)	Amp		22	0.07213114754098361	1	0.023809523809523808	0.81022412948126	0.09139482713056243	1.7038044461245598	False	False	False	True	False			True	False	False
Colorectal cancer MSS	COREAD_MSS	Anti_VEGF	RN7SKP146		RN7SKP146 - Anti VEGF (COREAD-MSS)	Amp		14	0.07291666666666667	1	0.023809523809523808	0.81022412948126	0.09139482713056243	1.71884533518223	False	False	False	True	False			True	False	False
Colorectal cancer MSS	COREAD_MSS	Pyrimidine_antagonist	SYNPO		SYNPO - Pyrimidine antagonist (COREAD-MSS)	Amp		2	0.006557377049180328	1	0.023809523809523808	0.81022412948126	0.09139482713056243	-1.8428481705749198	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	CDK4__6_inhibitor	TP53		TP53 - CDK4  6 inhibitor (BRCA ERpos)	coding mutations		16	0.25806451612903225	16	0.2	0.8144095269989232	0.08915715458140673	0.4774746085328346	False	False	False	False	False			True	False	False
Breast carcinoma	BRCA	Anthracycline	KMT2C		KMT2C - Anthracycline (BRCA)	coding mutations		43	0.1111111111111111	27	0.13432835820895522	0.8144095269989232	0.08915715458140673	-0.3101541852335696	False	False	False	False	False			False	True	False
Breast carcinoma	BRCA	Platinum	MTRNR2L7		MTRNR2L7 - Platinum (BRCA)	coding mutations		1	0.015625	1	0.004975124378109453	0.8144095269989232	0.08915715458140673	1.6670306436520077	False	False	False	True	False			False	True	False
Ovarian serous adenocarcinoma	OV	Taxane	SH3BGRL3		SH3BGRL3 - Taxane (OV)	coding mutations		1	0.012345679012345678	0	0.0	0.8144095269989232	0.08915715458140673	11.688250309133176	False	False	False	True	False			False	False	False
Colorectal cancer MSS	COREAD_MSS	Topoisomerase_inhibitor	APC		APC - Topoisomerase inhibitor (COREAD MSS)	coding mutations		117	0.8863636363636364	35	0.8333333333333334	0.8144095269989232	0.08915715458140673	0.6424705373158217	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2+	BRCA_HER2pos	Taxane	GATA3		GATA3 - Taxane (BRCA HER2pos)	coding mutations		8	0.1702127659574468	1	0.05555555555555555	0.8144095269989232	0.08915715458140673	1.8399383774682745	False	False	False	False	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Aromatase_inhibitor	ARID1A		ARID1A - Aromatase inhibitor (BRCA ERpos)	coding mutations		20	0.06944444444444445	3	0.0375	0.8144552679075394	0.08913276333140661	0.9384159470865356	False	True	False	True	False	10.1038/s41588-019-0554-0		True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Alkylating	NF1		NF1 - Alkylating (BRCA ERpos)	coding mutations		19	0.07196969696969698	3	0.0375	0.8144552679075394	0.08913276333140661	0.9938382313529832	False	False	False	True	False			True	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Anthracycline	NF1		NF1 - Anthracycline (BRCA ERpos)	coding mutations		19	0.07169811320754717	3	0.0375	0.8144552679075394	0.08913276333140661	0.9879646218908078	False	False	False	True	False			True	False	False
Breast carcinoma	BRCA	Aromatase_inhibitor	CCDC94		CCDC94 - Aromatase inhibitor (BRCA)	coding mutations		6	0.01694915254237288	1	0.004975124378109453	0.8144552679075394	0.08913276333140661	1.7904439569280597	False	False	False	True	False			False	True	False
Breast carcinoma	BRCA	Alkylating	TP53		TP53 - Alkylating (BRCA)	coding mutations		176	0.45714285714285713	99	0.4925373134328358	0.8144552679075394	0.08913276333140661	-0.196285469919062	False	False	False	False	False			False	True	False
Breast carcinoma	BRCA	Selective_ER_modulator	CCDC94		CCDC94 - Selective ER modulator (BRCA)	coding mutations		6	0.01507537688442211	1	0.004975124378109453	0.8144552679075394	0.08913276333140661	1.6182638947557535	False	False	False	True	False			False	True	False
Lung adenocarcinoma	LUAD	Taxane	KRAS		KRAS - Taxane (LUAD)	coding mutations		4	0.3333333333333333	7	0.19444444444444445	0.8144552679075394	0.08913276333140661	1.0513223784777843	False	False	False	False	False			False	False	False
Breast cancer ER+/HER2+	BRCA_HER2pos	Anti_AR__GnRH	PIK3CA		PIK3CA - Anti AR  GnRH (BRCA HER2pos)	coding mutations		6	0.6	7	0.3888888888888889	0.8144552679075394	0.08913276333140661	1.2376511199498406	False	False	False	False	False			True	False	False
Ovarian serous adenocarcinoma	OV	Platinum	SH3BGRL3		SH3BGRL3 - Platinum (OV)	coding mutations		1	0.011764705882352941	0	0.0	0.8157206870800439	0.08845852363033183	11.688250309133176	False	False	False	True	False			False	False	False
Bladder urothelial carcinoma	BLCA	Platinum	RB1		RB1 - Platinum (BLCA)	coding mutations		24	0.32	5	0.21739130434782608	0.8186572340117048	0.08689789620851282	0.7613854048886505	False	False	False	False	False			False	False	False
Esophageal carcinoma	ESCA	Platinum	SMARCA4		SMARCA4 - Platinum (ESCA)	coding mutations		9	0.140625	8	0.09411764705882353	0.8188026428256866	0.08682076424748991	0.6562675347942889	False	False	False	False	False			False	False	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	RPL22		RPL22 - Anti AR  GnRH (PRAD)	coding mutations		7	0.021604938271604937	1	0.006535947712418301	0.8265675948303666	0.08272162501877149	1.7473731668412458	False	False	False	True	False			False	False	False
Colorectal cancer MSS	COREAD_MSS	Anti_VEGF	FBXW7		FBXW7 - Anti VEGF (COREAD MSS)	coding mutations		23	0.11979166666666667	7	0.16666666666666666	0.8265675948303666	0.08272162501877149	-0.5532708071997892	False	False	False	False	False			True	False	False
Colorectal carcinoma	COREAD	Anti_VEGF	MACROD2		MACROD2 - Anti VEGF (COREAD)	Del		45	0.23076923076923078	9	0.17647058823529413	0.8275273533488199	0.08221764200889732	0.483563213001266	False	False	False	False	False			False	False	False
Colorectal carcinoma	COREAD	Pyrimidine_antagonist	RP11-626K17.5		RP11-626K17.5 - Pyrimidine antagonist (COREAD)	Amp		3	0.009554140127388535	1	0.0196078431372549	0.829276361237586	0.08130071413099642	-1.01988091479409	False	False	False	True	False			False	False	False
Colorectal carcinoma	COREAD	Pyrimidine_antagonist	GMDS		GMDS - Pyrimidine antagonist (COREAD)	Del		3	0.009554140127388535	1	0.0196078431372549	0.829276361237586	0.08130071413099642	-1.01988091479409	False	False	False	True	False			False	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Alkaloid	PTEN		PTEN - Alkaloid (BRCA ERpos)	coding mutations		4	0.13793103448275862	6	0.075	0.8313475226696606	0.08021739302956919	0.9813655854117552	False	False	False	False	False			True	False	False
Ovarian serous adenocarcinoma	OV	Platinum	NF1		NF1 - Platinum (OV)	coding mutations		9	0.10588235294117647	8	0.07272727272727272	0.8313475226696606	0.08021739302956919	0.5953780241291321	False	False	False	False	False			False	False	False
Prostate carcinoma	PRAD	Anti_AR__GnRH	PIK3CA		PIK3CA - Anti AR  GnRH (PRAD)	coding mutations		15	0.046296296296296294	4	0.026143790849673203	0.8313475226696606	0.08021739302956919	0.8553937070421418	False	False	False	True	False			False	False	False
Colorectal carcinoma	COREAD	Anti_VEGF	PRMT8		PRMT8 - Anti VEGF (COREAD)	Amp		10	0.05128205128205128	1	0.0196078431372549	0.8349457188906491	0.07834175775296888	1.4300948905545903	False	False	False	True	False			False	False	False
Colorectal carcinoma	COREAD	Topoisomerase_inhibitor	TTC28		TTC28 - Topoisomerase inhibitor (COREAD)	Amp		1	0.007352941176470588	1	0.0196078431372549	0.8360715375908929	0.07775656101580568	-1.39570871390426	False	False	False	True	False			False	False	False
Breast cancer ER+/HER2-	BRCA_ERpos	Alkylating	KLLN		PTEN - Alkylating (BRCA-ERpos)	Del		7	0.026515151515151516	1	0.0125	0.837391801611177	0.07707129533451329	1.10283260077628	False	False	False	True	False			True	False	False
Colorectal carcinoma	COREAD	Platinum	RP11-626K17.5		RP11-626K17.5 - Platinum (COREAD)	Amp		3	0.010948905109489052	1	0.0196078431372549	0.841464439522051	0.07496423268360601	-0.821730888448328	False	False	False	True	False			False	False	False
Colorectal carcinoma	COREAD	Topoisomerase_inhibitor	ENSG00000198326_TMEM239		TMEM239 [splice sites] - Topoisomerase inhibitor (COREAD)	non-coding mutation	splice_sites	3	0.022058823529411766	0	0.0	0.8451692161369079	0.07305632977559981	1.1763227726404628	False	False	False	True	False			False	False	False
Colorectal carcinoma	COREAD	Anti_VEGF	ATP1B2		TP53 - Anti VEGF (COREAD)	Del		2	0.010256410256410256	1	0.0196078431372549	0.8464781099461709	0.07238426833178331	-0.9156005431743941	False	False	False	True	False			False	False	False
Bladder urothelial carcinoma	BLCA	Platinum	RP11-204E9.1		RP11-204E9.1 - Platinum (BLCA)	Amp		20	0.26666666666666666	4	0.17391304347826086	0.8494100351719721	0.07088261243638284	0.7810546933597899	False	False	False	False	False			False	False	False
Bladder urothelial carcinoma	BLCA	Platinum	RP11-243A14.1		RP11-243A14.1 - Platinum (BLCA)	Amp		9	0.12	1	0.043478260869565216	0.8494100351719721	0.07088261243638284	1.6363702346506699	False	False	False	True	False			False	False	False
Bladder urothelial carcinoma	BLCA	Platinum	ERBB2		ERBB2 - Platinum (BLCA)	Amp		12	0.16	2	0.08695652173913043	0.8494100351719721	0.07088261243638284	0.9911638422321101	False	False	False	False	False			False	False	False
